train/reward,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/clip_fraction,train/n_updates,train/clip_range,train/explained_variance,train/value_loss,train/loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/std,train/learning_rate
-8.05941,11,14,22528,1523,0.029052734375,100,0.2,0.25134778022766113,102.73100756406784,73.97036743164062,-2.814904388040304,-0.0017961079662200063,0.004422128,0.9912439584732056,0.00025
0.5962109,12,16,24576,1521,0.043115234375,110,0.2,0.018445968627929688,60.3898947417736,31.39651870727539,-2.819013424217701,-0.00339589060167782,0.0038771394,0.9941046237945557,0.00025
0.1457942,13,17,26624,1520,0.054150390625,120,0.2,0.574760913848877,33.33497559428215,9.57850170135498,-2.8310794577002527,-0.0025273898674640803,0.007849615,0.9976452589035034,0.00025
-7.5416813,14,19,28672,1485,0.035107421875,130,0.2,0.4223114848136902,56.16701801419258,20.38783836364746,-2.8414265677332877,-0.001390919421100989,0.0058390116,1.0046930313110352,0.00025
-0.15684597,15,20,30720,1475,0.054296875,140,0.2,0.12279009819030762,21.131454157829285,9.76828670501709,-2.849095395207405,-0.0021264766110107303,0.0059975167,1.0059726238250732,0.00025
-0.16101639,16,22,32768,1452,0.041357421875,150,0.2,0.2241654396057129,101.03885034918785,38.96971893310547,-2.8479990802705286,-0.0032156296554603616,0.007827411,1.0037840604782104,0.00025
-0.61045986,17,24,34816,1445,0.0638671875,160,0.2,0.10248994827270508,110.197358751297,46.467193603515625,-2.8439536698162557,0.0021404945247923022,0.0069405106,1.0036370754241943,0.00025
0.23823324,18,25,36864,1429,0.06943359375,170,0.2,0.6748871803283691,8.896090310811996,3.263469696044922,-2.8287917375564575,-0.002672464914940065,0.00690526,0.9901961088180542,0.00025
-2.0682564,19,27,38912,1424,0.035009765625,180,0.2,0.27955758571624756,67.46446747779846,46.82273483276367,-2.814640175551176,-0.0016402618726715445,0.0031624506,0.9880558252334595,0.00025
0.78002006,20,28,40960,1421,0.0822265625,190,0.2,-0.001596689224243164,43.71547363102436,39.49811935424805,-2.811206932365894,-0.0016884669050341472,0.005441071,0.9865241646766663,0.00025
0.07645985,21,30,43008,1403,0.0388671875,200,0.2,0.3443285822868347,29.235787999629974,10.513205528259277,-2.811777983605862,-0.0015667268511606381,0.003910201,0.9899290204048157,0.00025
-0.28993657,22,32,45056,1404,0.0265625,210,0.2,0.15465307235717773,69.87676968872547,33.204063415527344,-2.818354343622923,0.0006764007463061717,0.003503031,0.9927175641059875,0.00025
2.6450202,23,33,47104,1407,0.06376953125,220,0.2,0.009954571723937988,19.70071597099304,12.6991548538208,-2.82002489939332,-0.0025524054930428975,0.0075976774,0.9904245138168335,0.00025
0.30615637,24,34,49152,1408,0.037353515625,230,0.2,0.09445655345916748,82.08668442070484,42.259578704833984,-2.8204628325998784,-0.0010923345864284784,0.0036287876,0.9945926666259766,0.00025
1.483129,25,36,51200,1409,0.021044921875,240,0.2,0.09390199184417725,112.68888926506042,53.11207580566406,-2.83463771417737,0.0007621241697052028,0.0039162277,1.0033605098724365,0.00025
3.501667,26,38,53248,1393,0.035791015625,250,0.2,0.2213658094406128,14.153486739099026,11.282742500305176,-2.848753885924816,-0.00019927547182305717,0.004787424,1.0078855752944946,0.00025
1.2775345,27,39,55296,1392,0.0236328125,260,0.2,0.09440791606903076,100.46441463828087,98.2929916381836,-2.855847583711147,0.0013029383182583843,0.0010628761,1.0127954483032227,0.00025
2.0349061,28,41,57344,1391,0.03369140625,270,0.2,-3.2782554626464844e-05,74.71513506174088,27.715435028076172,-2.857192536443472,-0.0011183260881807654,0.0033893553,1.0079680681228638,0.00025
1.6279732,29,43,59392,1377,0.030712890625,280,0.2,0.1901053786277771,44.76164961159229,26.703163146972656,-2.8593549959361555,-0.0017360400554025546,0.006115272,1.0134930610656738,0.00025
0.75497764,30,44,61440,1380,0.027392578125,290,0.2,0.09654361009597778,107.7204973757267,33.455474853515625,-2.8686947762966155,-0.0010788479288748932,0.0032732575,1.0191516876220703,0.00025
0.46178907,31,45,63488,1382,0.032373046875,300,0.2,0.09106653928756714,23.18252451866865,10.652514457702637,-2.8803454197943212,0.00045729201228823514,0.0029856218,1.0234780311584473,0.00025
0.22801138,32,47,65536,1381,0.033056640625,310,0.2,0.1621406078338623,93.20111756026745,91.32136535644531,-2.888086452335119,-0.000995740151120117,0.0045006527,1.026794195175171,0.00025
-0.056762557,33,48,67584,1384,0.015087890625,320,0.2,0.07241702079772949,108.02487483024598,42.96530532836914,-2.8827069871127606,0.0005075164575828239,0.0030025265,1.0183597803115845,0.00025
