train/reward,time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/learning_rate,train/loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/std
0.01112117,12,2058,11,24576,-0.0002986967971082777,0.00025,-0.03043699450790882,110,0.002897467969523859,0.0016028425,-1.4296358156949283,0.007763671875,0.2,0.0,1.0240778923034668
-0.0035778298,13,2064,12,26624,-0.0004769132618093863,0.00025,-0.029483173042535782,120,0.002937255025608465,0.0049770344,-1.4495025336742402,0.028662109375,0.2,0.006351649761199951,1.0389950275421143
0.0052050333,14,2030,14,28672,0.0005295906099490822,0.00025,-0.03581473231315613,130,0.0033198017572431127,0.0008260594,-1.468787034600973,0.001953125,0.2,0.12723517417907715,1.0635128021240234
0.005320782,15,2024,15,30720,-0.00253593551897211,0.00025,-0.048178695142269135,140,0.0037847474004593096,0.004821382,-1.4757761973887682,0.047119140625,0.2,0.07756531238555908,1.053131341934204
0.001215116,16,2040,16,32768,-0.001366373609926086,0.00025,-0.024526625871658325,150,0.00586393085468444,0.0025041034,-1.482360988110304,0.02529296875,0.2,0.3516131639480591,1.0751134157180786
0.017785758,17,2058,16,34816,-0.003293865078012459,0.00025,-0.032200053334236145,160,0.012477449873404111,0.006670095,-1.497011236846447,0.064599609375,0.2,0.5365786552429199,1.0867637395858765
0.05444661,18,2071,17,36864,0.0021772311563836412,0.00025,-0.033037811517715454,170,0.0023932045132823987,0.0050294334,-1.5075199984014034,0.041064453125,0.2,0.0019275546073913574,1.097061276435852
0.0030626152,19,2081,18,38912,-0.0010154463088838384,0.00025,-0.01061454601585865,180,0.004719039778137812,0.0034298187,-1.5171952594071627,0.022119140625,0.2,0.00423353910446167,1.1094094514846802
0.015973372,20,1984,20,40960,-0.0015212274214718492,0.00025,-0.033958058804273605,190,0.008026477301609703,0.004171981,-1.5185578037053347,0.0255859375,0.2,0.20851504802703857,1.1009711027145386
0.00076637027,21,1964,21,43008,-0.0022122945316368713,0.00025,-0.02917795442044735,200,0.003088109251257265,0.003970893,-1.521334283426404,0.029150390625,0.2,0.0,1.1117993593215942
-0.05958898,22,1917,23,45056,-0.0003265569408540614,0.00025,-0.03675972297787666,210,0.0068033691622986225,0.0009867123,-1.538379891961813,0.00400390625,0.2,0.21010762453079224,1.1384506225585938
-0.0036228825,23,1921,24,47104,-0.0018820927303750067,0.00025,-0.02282964624464512,220,0.002464028130088991,0.0045382567,-1.5494839735329151,0.0458984375,0.2,0.0,1.139249563217163
0.003046361,24,1926,25,49152,-0.0019067367044044658,0.00025,-0.029321635141968727,230,0.00963620330876438,0.004856997,-1.554198445007205,0.039404296875,0.2,0.7638342380523682,1.1516046524047852
0.06074182,25,1941,26,51200,-0.0011001280174241402,0.00025,-0.026379482820630074,240,0.015012547099468065,0.0035731038,-1.5667006123811007,0.012744140625,0.2,0.661894679069519,1.1605782508850098
-0.002599483,26,1955,27,53248,0.0010696889628889039,0.00025,-0.013665346428751945,250,0.01298420198727399,0.0018737208,-1.5615858029574157,0.01123046875,0.2,0.5088584423065186,1.1470930576324463
-0.2872183,27,1968,28,55296,-0.00019224762290832588,0.00025,-0.006744071841239929,260,0.0175560139134177,0.002231272,-1.5601141456514598,0.01025390625,0.2,0.32002806663513184,1.155104637145996
-0.015623287,28,1979,28,57344,0.00022519734338857233,0.00025,-0.031131263822317123,270,0.008639873195352265,0.0034612757,-1.563452197611332,0.0240234375,0.2,0.0972367525100708,1.156668782234192
-0.033168167,29,1991,29,59392,-0.0016443398184492254,0.00025,-0.03444751352071762,280,0.009021893058525165,0.0030433158,-1.5618901830166578,0.031103515625,0.2,0.15485364198684692,1.150606393814087
-0.0026482884,30,2002,30,61440,-0.0005554423609282821,0.00025,-0.03045167401432991,290,0.01006797464506235,0.0007106097,-1.565602967888117,0.010205078125,0.2,0.026030540466308594,1.1612040996551514
