time/time_elapsed,time/fps,time/total_timesteps,train/reward,time/iterations,train/approx_kl,train/entropy_loss,train/std,train/clip_fraction,train/learning_rate,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/value_loss
30,2206,67584,0.14234655,33,0.0032403038,-1.359835833311081,0.9414076805114746,0.02470703125,0.00025,0.2,-0.021503854542970657,0.9696829915046692,320,-0.006685325091530104,0.029894273867830633
31,2213,69632,0.31574425,34,0.00508965,-1.359580074250698,0.9435210227966309,0.04453125,0.00025,0.2,-0.019338615238666534,0.8953583240509033,330,-0.007907557257567532,0.025618090818170458
32,2214,71680,0.06290933,35,0.0071856473,-1.3592306271195411,0.9401676654815674,0.06611328125,0.00025,0.2,-0.013378595933318138,0.9781864881515503,340,-0.011059867462608963,0.02225641278200783
33,2216,73728,-0.06303855,36,0.0034280855,-1.3505165569484234,0.9274279475212097,0.0392578125,0.00025,0.2,-0.013838360086083412,0.9240671992301941,350,-0.007765642474987544,0.027634167397627606
34,2219,75776,0.0180534,37,0.003772216,-1.34066376760602,0.9213493466377258,0.02666015625,0.00025,0.2,-0.0069952127523720264,0.9360144138336182,360,-0.007075789489317685,0.0196857682953123
34,2224,77824,0.04835217,38,0.006219442,-1.3362793274223805,0.9194883108139038,0.04912109375,0.00025,0.2,-0.022052187472581863,0.9649766683578491,370,-0.011330795903631952,0.015329241193830967
35,2224,79872,0.015922,39,0.0042582536,-1.3300841331481934,0.9092720746994019,0.039697265625,0.00025,0.2,-0.02723035030066967,0.946934163570404,380,-0.007710296276491136,0.016932302905479445
36,2216,81920,-0.093253344,40,0.003556205,-1.3208515040576458,0.9039371013641357,0.031591796875,0.00025,0.2,-0.014415014535188675,0.9616882801055908,390,-0.007951695518568159,0.014765784359769895
38,2189,83968,-0.108300485,41,0.0044854274,-1.3186956606805325,0.9051759243011475,0.03525390625,0.00025,0.2,-0.01980375126004219,0.9769330024719238,400,-0.007641343309660442,0.012270698201609776
39,2187,86016,-0.1915443,42,0.0052550957,-1.3184214979410172,0.903257429599762,0.050390625,0.00025,0.2,-0.014614037238061428,0.9749996066093445,410,-0.009140159146045334,0.012074512685649097
40,2192,88064,1.8195287e-05,43,0.0050749904,-1.3178447112441063,0.9043444991111755,0.04404296875,0.00025,0.2,-0.030062172561883926,0.9576531648635864,420,-0.00827029756619595,0.010055058953003026
41,2197,90112,-0.010552659,44,0.004828252,-1.3136347644031048,0.8951424360275269,0.0375,0.00025,0.2,-0.00783572718501091,0.9709692597389221,430,-0.008852890838170424,0.01063789980544243
41,2202,92160,-0.015327912,45,0.0032070782,-1.3092206180095673,0.8954804539680481,0.024609375,0.00025,0.2,-0.01814458519220352,0.9449602961540222,440,-0.006802688573952764,0.012459982908330858
42,2206,94208,-0.073723756,46,0.004771032,-1.3079956971108913,0.8929544687271118,0.04580078125,0.00025,0.2,-0.025410965085029602,0.9737840890884399,450,-0.008733880121144465,0.011488174402620644
43,2211,96256,-0.09817362,47,0.0051379018,-1.3065897136926652,0.8939209580421448,0.037451171875,0.00025,0.2,-0.023816995322704315,0.9698481559753418,460,-0.010085895025986247,0.011571171839023009
44,2215,98304,-0.020066777,48,0.0038231416,-1.306571213901043,0.8911711573600769,0.043212890625,0.00025,0.2,-0.025867685675621033,0.9716911911964417,470,-0.006891111761797219,0.009700107967364601
45,2217,100352,-0.00013407486,49,0.006818441,-1.2966402366757392,0.8774857521057129,0.06328125,0.00025,0.2,-0.0196173544973135,0.9835266470909119,480,-0.010667401313548907,0.00604116594477091
