,date,DJI,PPO
197,2023-06-15,1086921.9791330094,1192459.0366456434
198,2023-06-16,1083480.7340311042,1187729.264195639
199,2023-06-20,1075733.4903249224,1183163.8727623236
200,2023-06-21,1072500.2895159682,1173104.5791082557
201,2023-06-22,1072348.390035172,1180631.4535678923
202,2023-06-23,1065421.4775624045,1168621.9825857584
203,2023-06-26,1065019.7028187225,1162537.665082577
204,2023-06-27,1071717.4704207843,1180091.262952738
205,2023-06-28,1069377.4040082584,1179220.9097693046
206,2023-06-29,1077898.9525414074,1181919.6787079393
207,2023-06-30,1086907.5418955982,1197668.54299869
208,2023-07-03,1087250.8273184863,1200376.8351742919
209,2023-07-05,1083149.6647321796,1197218.856572386
210,2023-07-06,1071576.0595312698,1188786.2397085326
211,2023-07-07,1065656.7921926875,1184031.4738706094
212,2023-07-10,1072275.3400817753,1187713.0545712835
213,2023-07-11,1082289.8470374695,1193472.468870104
214,2023-07-12,1085006.7623649847,1203653.4944373877
215,2023-07-13,1086513.9112345583,1214640.2462475456
216,2023-07-14,1090111.6214393468,1215137.4548239005
217,2023-07-17,1092522.5166918219,1222599.0502507347
218,2023-07-18,1104102.4150475007,1230955.2684437812
219,2023-07-19,1107554.518926262,1232566.8615680581
220,2023-07-20,1112734.1554867025,1215755.3622677692
221,2023-07-21,1112813.498594868,1217608.0479932711
222,2023-07-24,1118611.5918553497,1220570.3548895037
223,2023-07-25,1119459.1934260963,1226915.9659990543
224,2023-07-26,1122051.1094245731,1219242.8836006548
225,2023-07-27,1114551.766658212,1211004.8456959384
226,2023-07-28,1120129.476106588,1224928.1269532472
227,2023-07-31,1123296.043512106,1226990.9185118563
228,2023-08-01,1125543.5635309708,1223464.955736748
229,2023-08-02,1114545.473503443,1203142.2896349032
230,2023-08-03,1112440.7217212,1198016.5251709444
231,2023-08-04,1107693.8320975204,1190333.5812052386
232,2023-08-07,1120566.6652702445,1197221.0644632608
233,2023-08-08,1115555.339751076,1190565.8636946718
234,2023-08-09,1109517.7364237988,1180251.5266472762
235,2023-08-10,1111185.2990423853,1180144.6010102218
236,2023-08-11,1114510.0590834687,1176285.1687592834
237,2023-08-14,1115338.6577947168,1185507.934319506
238,2023-08-15,1103927.4406658849,1172487.2087192251
239,2023-08-16,1098220.7832423407,1163086.6112980922
240,2023-08-17,1089031.173142148,1151318.2987810958
241,2023-08-18,1089847.1855438584,1152719.052840891
242,2023-08-21,1088679.3734510434,1165244.469264908
243,2023-08-22,1083155.5877013742,1164035.3530879747
244,2023-08-23,1088972.8072165456,1178695.8842630426
245,2023-08-24,1077172.4016535694,1157359.6016089385
246,2023-08-25,1084989.9806189341,1168299.7126893045
247,2023-08-28,1091721.0649227144,1175421.819111828
248,2023-08-29,1100966.943230253,1195106.889498402
249,2023-08-30,1102153.634787375,1200862.8485034143
250,2023-08-31,1096836.2891931664,1201979.790102665
251,2023-09-01,1100494.339646622,1202145.047741528
252,2023-09-05,1094311.0065981261,1200275.0694436915
253,2023-09-06,1088031.7954857969,1190876.599979542
254,2023-09-07,1089849.4066573062,1183613.147198559
255,2023-09-08,1092245.7412771785,1185440.9949306375
256,2023-09-11,1094998.0710246682,1196063.168913052
257,2023-09-12,1094437.9802502294,1181603.7249970592
258,2023-09-13,1092212.3011802689,1185637.1525040953
259,2023-09-14,1102686.578619673,1195591.7980369895
260,2023-09-15,1093561.380809469,1177432.3457531303
261,2023-09-18,1093752.8901467521,1178083.0454054435
262,2023-09-19,1090386.4225309254,1175725.4045806963
263,2023-09-20,1087958.7455324,1163617.598417534
264,2023-09-21,1076256.3157515135,1144537.179041588
265,2023-09-22,1072889.4779501122,1142827.38096299
266,2023-09-25,1074249.0461705937,1146354.8159686052
267,2023-09-26,1061992.4485844627,1126657.6089427797
268,2023-09-27,1059825.1354401046,1124722.524537291
269,2023-09-28,1063491.7001617772,1130288.6682887939
270,2023-09-29,1058474.08148784,1132137.9923431342
271,2023-10-02,1056131.7939618663,1133553.8189767555
272,2023-10-03,1042517.7258735099,1117510.3791815073
273,2023-10-04,1046534.9797295633,1129786.5682803004
274,2023-10-05,1046219.7050151569,1127367.8379911464
275,2023-10-06,1055317.6324880288,1142709.3139977495
276,2023-10-09,1061542.9199016516,1148592.060630028
277,2023-10-10,1065796.4755495205,1154391.4127298167
278,2023-10-11,1067867.787234854,1161708.5451268847
279,2023-10-12,1062379.7860907335,1156728.4572660793
280,2023-10-13,1063616.4527004329,1146406.5479933512
281,2023-10-16,1073543.3490701278,1158578.9650299915
282,2023-10-17,1073957.4633329646,1156346.284909264
283,2023-10-18,1063451.8435149072,1142747.8751809848
284,2023-10-19,1055525.9235713629,1131781.4836742042
285,2023-10-20,1046463.2871232737,1116130.5370683672
286,2023-10-23,1040433.8278786388,1115307.3763202135
287,2023-10-24,1046908.6203695723,1124888.2863949512
288,2023-10-25,1043577.5671737202,1113383.9971931193
289,2023-10-26,1035628.8191197393,1097996.7838091871
290,2023-10-27,1024044.725327548,1098183.3937180408
291,2023-10-30,1040198.5132483556,1109705.8820959018
292,2023-10-31,1044112.7321194661,1117324.161468634
