time/time_elapsed,time/iterations,train/reward,time/fps,time/total_timesteps,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/std,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/entropy_loss
47,27,0.27778283,1155,55296,1.3379611792042851,-0.003762941293825861,0.0003,0.9562520980834961,260,0.080224609375,0.6677274703979492,0.008691873,0.2,0.4758058190345764,-4.118550565838814
49,28,0.22960518,1155,57344,2.9483713809400798,0.0028297732496866956,0.0003,0.9586376547813416,270,0.06884765625,1.9992332458496094,0.0052304864,0.2,0.23287606239318848,-4.120909106731415
51,29,-0.7144683,1158,59392,3.6728881515562533,0.0016963518151897005,0.0003,0.9524776935577393,280,0.08955078125,1.4733784198760986,0.008894475,0.2,-0.0864647626876831,-4.115101706981659
52,30,-0.088880956,1161,61440,1.724621032550931,-0.004149125871481374,0.0003,0.957968533039093,290,0.072314453125,1.129533290863037,0.0061127073,0.2,0.40603339672088623,-4.113220080733299
54,31,0.12182949,1164,63488,2.5206925839185716,-0.00209457903256407,0.0003,0.9560771584510803,300,0.04169921875,0.7495652437210083,0.005045141,0.2,0.2435319423675537,-4.117917941510678
56,32,-0.4703788,1167,65536,3.144674910977483,-0.002274256481905468,0.0003,0.9588251709938049,310,0.06201171875,1.3905665874481201,0.0057587093,0.2,0.09718292951583862,-4.1189090922474865
57,33,-0.55492574,1169,67584,1.2217213615775109,-0.0029372473509283736,0.0003,0.9603554606437683,320,0.06259765625,0.5531238913536072,0.0068822093,0.2,0.4031555652618408,-4.13042783588171
59,34,-0.063078955,1172,69632,2.428778892196715,-0.00555194871412823,0.0003,0.9533877372741699,330,0.10107421875,1.4179790019989014,0.012330888,0.2,0.23296326398849487,-4.121162451803684
61,35,0.44187436,1174,71680,3.1546418104320764,-4.187019512755796e-05,0.0003,0.9473557472229004,340,0.046923828125,1.8674777746200562,0.00614578,0.2,0.08735644817352295,-4.096360336244106
62,36,0.21124469,1176,73728,1.8265483805909752,-0.0023816968918254134,0.0003,0.946561336517334,350,0.07734375,1.3623050451278687,0.007252731,0.2,0.03681802749633789,-4.086883993446827
64,37,-0.22852422,1178,75776,2.4907476477324964,0.002820450207218528,0.0003,0.9399558901786804,360,0.1158203125,0.901407778263092,0.0090028625,0.2,0.07559806108474731,-4.072686886787414
65,38,-0.83188665,1180,77824,2.73508640229702,-0.003490485256770626,0.0003,0.9347825646400452,370,0.062744140625,0.8258317708969116,0.005296138,0.2,0.00910043716430664,-4.055818767845631
67,39,0.46221963,1183,79872,1.795234700664878,0.0022070736260502597,0.0003,0.9438555836677551,380,0.043505859375,0.6264392733573914,0.0048800875,0.2,0.0011439323425292969,-4.06558905094862
69,40,0.1599284,1185,81920,2.48589581027627,-0.0022361909948813265,0.0003,0.9460577368736267,390,0.091259765625,1.443071961402893,0.008374452,0.2,0.04775756597518921,-4.082565623521805
