time/iterations,time/time_elapsed,train/reward,time/total_timesteps,time/fps,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/entropy_loss,train/loss,train/value_loss,train/approx_kl,train/clip_fraction,train/std,train/clip_range
20,29,1.5130252,40960,1365,0.017721951007843018,-0.0015205118761514314,0.0003,190,-2.785233598202467,7.305569648742676,14.207793033123016,0.0058946135,0.048388671875,0.9685714244842529,0.2
21,31,-2.1511574,43008,1359,0.29119735956192017,-0.0006680925431282958,0.0003,200,-2.775636974722147,23.521238327026367,40.46469177156687,0.0050241128,0.051513671875,0.9719159603118896,0.2
22,33,0.39533445,45056,1352,0.2891194224357605,0.00023315592407016083,0.0003,210,-2.7854374699294566,10.858402252197266,42.71227851212025,0.004757012,0.056787109375,0.9763044118881226,0.2
23,35,-2.1616502,47104,1327,0.05374348163604736,-0.0022074869979405777,0.0003,220,-2.7855504296720026,3.544834852218628,11.874160864949227,0.0052241147,0.077685546875,0.9731130599975586,0.2
24,37,-0.18475954,49152,1327,0.35669559240341187,-0.001114073579083197,0.0003,230,-2.7782204508781434,26.5040225982666,34.109925995767114,0.0042135203,0.03310546875,0.9708997011184692,0.2
25,38,4.404663,51200,1325,0.28442150354385376,-0.005305992831563344,0.0003,240,-2.773165989667177,28.33681297302246,56.39904485344887,0.0050073294,0.0583984375,0.9670969247817993,0.2
26,40,2.6095212,53248,1316,-0.012916326522827148,4.067289482918568e-05,0.0003,250,-2.7714764542877672,19.533649444580078,34.38016024678946,0.005230787,0.057666015625,0.9713842868804932,0.2
27,42,-0.92566586,55296,1315,0.44127053022384644,0.0017940627003554255,0.0003,260,-2.7760539881885054,12.399853706359863,15.573094384372235,0.0058520036,0.073291015625,0.9700517654418945,0.2
28,43,-2.1813521,57344,1314,0.22164815664291382,-0.000239234630134888,0.0003,270,-2.7849996142089366,10.352188110351562,45.00081530213356,0.0088775195,0.070166015625,0.9772515296936035,0.2
29,45,-0.7106751,59392,1315,-0.006242036819458008,-0.003028821087355027,0.0003,280,-2.799836329370737,21.755775451660156,45.97119543552399,0.0055828113,0.045654296875,0.9852391481399536,0.2
30,46,0.22912942,61440,1316,0.40360796451568604,-0.0028391306266712492,0.0003,290,-2.8095100417733194,7.220395088195801,13.877053798735142,0.005417035,0.06435546875,0.9838223457336426,0.2
31,49,0.32640392,63488,1295,0.08781599998474121,0.00042093088777619416,0.0003,300,-2.8092810712754726,23.224885940551758,58.611269196867944,0.0033800197,0.021630859375,0.9879664182662964,0.2
32,50,0.64156747,65536,1299,0.05890399217605591,-7.749742217129096e-05,0.0003,310,-2.8177465319633486,20.79537010192871,70.4445419639349,0.008937197,0.031640625,0.9914400577545166,0.2
33,51,-2.2979069,67584,1302,0.16964715719223022,-0.00012531186075648293,0.0003,320,-2.818929690122604,3.6405766010284424,11.93758292645216,0.005053347,0.032373046875,0.9893362522125244,0.2
