time/iterations,time/fps,train/reward,time/total_timesteps,time/time_elapsed,train/value_loss,train/clip_fraction,train/entropy_loss,train/approx_kl,train/explained_variance,train/std,train/learning_rate,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss
11,2340,-0.06674421,22528,9,2.201991679519415,0.03671875,-1.5028114944696427,0.006574087,0.5471566915512085,1.0887423753738403,0.00025,100,0.2,0.6624441742897034,-0.0034682539917412214
12,2340,0.14224434,24576,10,5.198777303099632,0.00625,-1.5083808727562427,0.0027742074,0.5654982924461365,1.098186731338501,0.00025,110,0.2,1.7964448928833008,-0.0023800234237569386
13,2339,-1.5992615,26624,11,20.222476306557656,0.00283203125,-1.5135163269937038,0.0025815591,0.43814516067504883,1.0997432470321655,0.00025,120,0.2,5.198095798492432,-0.0014340886162244714
14,2338,1.0690058,28672,12,1.9453345142304896,0.01767578125,-1.5148294299840928,0.004091181,0.8168125152587891,1.1010910272598267,0.00025,130,0.2,0.8873226642608643,-0.0022127705902676097
15,2338,0.3392149,30720,13,13.723509910702706,0.01240234375,-1.5160295881330967,0.0032741807,0.536981999874115,1.1023976802825928,0.00025,140,0.2,10.899991035461426,-0.002715108191478066
16,2338,-0.34842896,32768,14,28.802001953125,0.0001953125,-1.5179811283946036,0.0008274843,0.4585733413696289,1.1059629917144775,0.00025,150,0.2,12.989628791809082,-0.0003555856557795778
17,2338,0.7904563,34816,14,8.615583175420761,0.005419921875,-1.5227252833545208,0.001826224,0.49388760328292847,1.1125147342681885,0.00025,160,0.2,3.962869644165039,-0.0020344594900961964
18,2338,-0.28730398,36864,15,22.0324011400342,0.0,-1.525821966677904,0.00035857497,0.5804102420806885,1.1124058961868286,0.00025,170,0.2,22.543188095092773,-0.00035768488014582546
19,2339,-0.6615463,38912,16,16.28681745827198,0.0,-1.527146252989769,0.00019263334,0.6760391592979431,1.1163876056671143,0.00025,180,0.2,5.414072036743164,-0.0003492702526273206
20,2337,1.7728853,40960,17,7.03479136377573,0.003662109375,-1.5327914632856845,0.0022524921,0.5830342769622803,1.1255035400390625,0.00025,190,0.2,3.2906925678253174,-0.0010750678324257024
21,2334,-3.223054,43008,18,14.339762306213379,0.00166015625,-1.5369979411363601,0.0020558466,0.6685127019882202,1.1244423389434814,0.00025,200,0.2,6.625073432922363,-0.0018711201060796156
22,2334,0.4248478,45056,19,15.538775989413262,0.00771484375,-1.5358480371534824,0.0024669906,0.6700423359870911,1.1239241361618042,0.00025,210,0.2,6.358027935028076,-0.0019913336640456692
23,2334,-2.1372836,47104,20,7.845119036734104,0.0,-1.5383080579340458,0.00013035553,0.6354480981826782,1.1303101778030396,0.00025,220,0.2,3.4969615936279297,-6.848474440630525e-05
24,2334,-0.21350828,49152,21,10.435512278974056,0.0009765625,-1.5426021926105022,0.0012506736,0.7553064823150635,1.1325315237045288,0.00025,230,0.2,6.671043872833252,-0.0011802936023741495
25,2334,4.5117044,51200,21,13.299885781109333,9.765625e-05,-1.5460542611777783,0.00078201585,0.7636862397193909,1.1389403343200684,0.00025,240,0.2,8.483491897583008,-0.0005955294349405449
26,2334,2.7117555,53248,22,15.402519962191581,0.00029296875,-1.5503273531794548,0.00049712695,0.6867526769638062,1.141747236251831,0.00025,250,0.2,6.766319274902344,-0.0010534194589126855
27,2335,-0.6764241,55296,23,2.8119746752083303,0.001904296875,-1.5555303536355496,0.0013916173,0.7833523750305176,1.1520756483078003,0.00025,260,0.2,0.7010380029678345,-0.0003656790097011253
28,2335,-1.8977267,57344,24,11.357548977434636,0.0,-1.5632605105638504,0.00038494443,0.8111723065376282,1.1577039957046509,0.00025,270,0.2,3.5463528633117676,-6.477163551608101e-05
29,2335,-0.54270136,59392,25,9.74807952195406,0.01787109375,-1.5696775145828723,0.0026973877,0.7950465083122253,1.1669642925262451,0.00025,280,0.2,4.363917350769043,-0.003959140821825713
30,2335,0.049626987,61440,26,1.3970271706581117,0.014111328125,-1.578175576031208,0.002890903,0.856548547744751,1.1761502027511597,0.00025,290,0.2,0.4807356297969818,-0.0025061060772713973
