time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/reward,train/clip_range,train/std,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
26624,1261,21,13,7.191786e-05,0.2,0.9904721975326538,0.00025,0.00013834929958704832,-1.1920928955078125e-07,-0.015342926606535912,120,-2.827616097778082,0.014697265625,-0.00010590114761726,0.004819326
28672,1274,22,14,-0.0044122464,0.2,0.9910987615585327,0.00025,0.0005064364824420408,-0.36238980293273926,-0.012517436407506466,130,-2.8180315494537354,0.036083984375,-0.0015476471657166258,0.0053182645
30720,1282,23,15,0.0002549852,0.2,0.9967449307441711,0.00025,1.0018759479279992e-05,5.960464477539063e-08,-0.024821680039167404,140,-2.8256819531321526,0.01455078125,-0.00030304493848234417,0.0037108525
32768,1286,25,16,-0.0006680615,0.2,0.9899998903274536,0.00025,4.163665757488389e-05,5.960464477539063e-08,-0.04020237922668457,150,-2.8236870557069778,0.093310546875,-0.007143975209328346,0.009377866
34816,1295,26,17,7.575093e-05,0.2,0.9855643510818481,0.00025,0.01563314262457425,0.04184752702713013,-0.016826797276735306,160,-2.8120173901319503,0.025830078125,-0.00016666798474034293,0.005193448
36864,1304,28,18,-0.005430046,0.2,0.9836036562919617,0.00025,6.833981498743924e-05,-1.1920928955078125e-07,-0.003551213536411524,170,-2.8057957403361797,0.0501953125,0.0005943219563050661,0.0075843334
38912,1312,29,19,-0.0005865408,0.2,0.9799662828445435,0.00025,0.00012785682179412562,0.8754984736442566,-0.044184379279613495,180,-2.8008674010634422,0.070361328125,-0.0034657174241147005,0.006355022
40960,1319,31,20,0.016145904,0.2,0.9891413450241089,0.00025,0.003400695426535094,0.7801927328109741,-0.02730805054306984,190,-2.805963987112045,0.03369140625,-0.002240505583176855,0.0038597146
43008,1326,32,21,0.0013784083,0.2,0.9932661056518555,0.00025,0.0029511545533750906,0.7791023254394531,-0.02710447460412979,200,-2.818708112835884,0.04677734375,-0.0033774195122532546,0.0069370056
45056,1332,33,22,0.015016666,0.2,1.0020626783370972,0.00025,0.009997820324497298,0.3246041536331177,-0.029132846742868423,210,-2.8312892369925975,0.03955078125,-0.002722580135741737,0.006316304
47104,1337,35,23,-0.0036880805,0.2,1.006772518157959,0.00025,0.00193155071901856,0.5994834899902344,-0.043773502111434937,220,-2.8434013396501543,0.032421875,-0.0030466716285445727,0.0030099754
49152,1342,36,24,0.00046599138,0.2,1.0045526027679443,0.00025,0.003568728387108422,0.6227521896362305,-0.039116088300943375,230,-2.848722276091576,0.035498046875,-0.0025557742432283704,0.00497885
51200,1347,38,25,-0.00043237046,0.2,0.9884014129638672,0.00025,0.004770897058187984,0.4890798330307007,-0.03289160132408142,240,-2.8289367660880087,0.02490234375,-0.00266690958669642,0.003093605
53248,1351,39,26,-0.006761213,0.2,0.9927623271942139,0.00025,3.466832679919207e-05,-1.019867181777954,-0.023073984310030937,250,-2.816646883636713,0.0509765625,-0.0019803436611255166,0.0048622834
55296,1355,40,27,0.025417032,0.2,0.9932042360305786,0.00025,0.0005586945583672786,0.3832172155380249,-0.03331443667411804,260,-2.8224494747817515,0.04208984375,-0.0029348511408898046,0.004452658
57344,1358,42,28,-0.0068311933,0.2,0.9873734712600708,0.00025,0.0016057983037171652,0.0013909339904785156,-0.038718219846487045,270,-2.818694893270731,0.026416015625,-0.0018153659504605458,0.0055100317
59392,1361,43,29,-0.01116175,0.2,0.9932267665863037,0.00025,0.0011375718633644283,0.5463929772377014,-0.030610928311944008,280,-2.816131144762039,0.060498046875,-0.00470067547284998,0.0058653466
61440,1365,45,30,0.003953655,0.2,0.9935557842254639,0.00025,0.006722855340922251,-0.12513422966003418,-0.010136193595826626,290,-2.823831804841757,0.020263671875,-0.0018561869481345638,0.0031472277
63488,1367,46,31,-0.007499589,0.2,0.9956221580505371,0.00025,0.0025470746742939808,0.3682723045349121,-0.04397225379943848,300,-2.8266021266579626,0.0205078125,-0.0010322435293346644,0.0035911081
65536,1368,47,32,0.00045118577,0.2,0.9884636402130127,0.00025,0.00731470154132694,-0.0840996503829956,-0.032190851867198944,310,-2.819083594530821,0.029833984375,-0.002251814550254494,0.003507924
67584,1371,49,33,-0.0009996925,0.2,0.9955360293388367,0.00025,0.005145810340036405,0.05123138427734375,-0.01803620159626007,320,-2.8208583369851112,0.077197265625,-0.005115389567799866,0.0074776504
69632,1374,50,34,-0.022871897,0.2,1.0076371431350708,0.00025,0.0013470169804350007,0.20882797241210938,-0.04194675758481026,330,-2.840080188959837,0.052197265625,0.000881701277103275,0.0053026066
71680,1377,52,35,0.0225648,0.2,1.0179377794265747,0.00025,0.006711216044641333,0.08761060237884521,-0.020545609295368195,340,-2.8613799519836904,0.01728515625,-0.0012408173839503433,0.00473383
73728,1379,53,36,-0.0020500852,0.2,1.0206842422485352,0.00025,0.009380562433943852,0.0390775203704834,-0.023051055148243904,350,-2.87342816516757,0.021240234375,-0.001824562335968949,0.005109816
75776,1381,54,37,-0.0019481011,0.2,1.037095308303833,0.00025,0.0055266138308070365,0.5304341316223145,-0.04192357882857323,360,-2.8931061893701555,0.03505859375,-0.006224607490003109,0.0040895212
77824,1384,56,38,0.0021907925,0.2,1.0311152935028076,0.00025,0.009815571490617004,0.24151289463043213,-0.015224002301692963,370,-2.9048335842788218,0.013916015625,-0.001075225550448522,0.0026152066
79872,1386,57,39,-0.013782022,0.2,1.0262250900268555,0.00025,0.002914091517232009,0.567915678024292,-0.03785415366292,380,-2.8922769263386727,0.029931640625,-0.002267544934875332,0.002504698
81920,1388,58,40,0.0010671157,0.2,1.0082027912139893,0.00025,0.014003369354759343,0.23023784160614014,-0.03469027578830719,390,-2.869736536592245,0.053076171875,-0.005612867059244309,0.007085869
