time/fps,time/iterations,train/reward,time/time_elapsed,time/total_timesteps,train/value_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/std,train/n_updates,train/clip_fraction,train/approx_kl,train/loss,train/explained_variance,train/policy_gradient_loss
884,11,-9.521721,25,22528,67.09652526378632,-4.331392244994641,0.00025,0.2,1.0270271301269531,100,0.0357421875,0.004637386,18.345121383666992,0.10016441345214844,-0.00297771784971701
896,12,0.5315432,27,24576,69.64333087801933,-4.335044986009597,0.00025,0.2,1.0264769792556763,110,0.101123046875,0.008039405,15.29544448852539,0.005328655242919922,-0.004853539142641239
911,13,0.30145022,29,26624,38.77847556769848,-4.335768286883831,0.00025,0.2,1.028948187828064,120,0.035986328125,0.0046860394,19.268726348876953,0.3195699453353882,-0.0007170929442509077
889,14,-8.02993,32,28672,96.32646738290786,-4.341367062926293,0.00025,0.2,1.0287119150161743,130,0.02353515625,0.005471953,34.92752456665039,0.15140360593795776,-0.001617348287254572
895,15,-0.12702315,34,30720,24.69454500079155,-4.3447768747806546,0.00025,0.2,1.0316588878631592,140,0.0494140625,0.0062932745,11.850691795349121,0.036696791648864746,-0.0022088722842454446
906,16,-0.18001628,36,32768,107.56763408184051,-4.352868458628654,0.00025,0.2,1.0343843698501587,150,0.04580078125,0.008530342,57.2032585144043,0.11392569541931152,0.001234765445406083
885,17,-0.6109311,39,34816,79.45317167639732,-4.360210098326206,0.00025,0.2,1.0384756326675415,160,0.051171875,0.007428036,48.15788650512695,0.07810229063034058,-0.002997208524175221
898,18,0.3825962,41,36864,17.439057470858096,-4.373856042325497,0.00025,0.2,1.0413908958435059,170,0.08427734375,0.011311848,11.110751152038574,0.3759060502052307,-0.0010507737926673145
906,19,-4.4902334,42,38912,154.04615831375122,-4.376453576982021,0.00025,0.2,1.0404411554336548,180,0.023193359375,0.0075207786,99.37789916992188,0.1154891848564148,-0.0020027253704029135
917,20,1.2252046,44,40960,106.76769001483918,-4.375348252058029,0.00025,0.2,1.0425812005996704,190,0.0267578125,0.0034060446,17.844831466674805,-0.030833959579467773,-0.00031024537893245
928,21,0.113100044,46,43008,71.81141831874848,-4.373276326060295,0.00025,0.2,1.0376054048538208,200,0.026318359375,0.006468186,21.935501098632812,0.13831955194473267,-0.0034612035742611624
937,22,1.0764524,48,45056,175.85451167821884,-4.365519005060196,0.00025,0.2,1.0377341508865356,210,0.0353515625,0.0057199607,91.11385345458984,0.13024187088012695,-0.0027326096125761977
946,23,2.2700067,49,47104,29.59440480172634,-4.363896863162518,0.00025,0.2,1.0355781316757202,220,0.0681640625,0.008245801,16.81488037109375,0.00019466876983642578,-0.0014054715284146369
954,24,0.28401664,51,49152,123.10070015192032,-4.360585974156857,0.00025,0.2,1.0369986295700073,230,0.033447265625,0.006104708,100.81746673583984,0.15920209884643555,-0.004022046204772778
962,25,1.2330834,53,51200,149.682859480381,-4.369355888664723,0.00025,0.2,1.0420596599578857,240,0.076025390625,0.0069225244,102.65264892578125,0.08854013681411743,-0.0034979815587576012
970,26,3.294961,54,53248,15.765483966469764,-4.384702925384045,0.00025,0.2,1.0478695631027222,250,0.07353515625,0.0074294545,10.855517387390137,0.4428771734237671,-0.003250859203399159
977,27,3.2944608,56,55296,135.0641102731228,-4.386987891793251,0.00025,0.2,1.0419610738754272,260,0.048828125,0.0073179277,54.00074768066406,0.21465271711349487,-0.004546205418591853
983,28,1.4981688,58,57344,60.42538604140282,-4.385032224655151,0.00025,0.2,1.0462936162948608,270,0.0669921875,0.00817349,34.18308639526367,0.1096760630607605,-0.003233205531432759
989,29,1.9392705,60,59392,51.02087592482567,-4.39269628226757,0.00025,0.2,1.0465035438537598,280,0.040087890625,0.0047796573,14.484484672546387,0.32140374183654785,-0.001678758379421197
995,30,0.34461898,61,61440,141.8979281425476,-4.3945756033062935,0.00025,0.2,1.0489944219589233,290,0.059375,0.005538682,110.72264862060547,0.16812819242477417,-0.001515892045426881
1001,31,0.14096788,63,63488,26.847731637954713,-4.424347695708275,0.00025,0.2,1.0654091835021973,300,0.070361328125,0.0057186475,11.899068832397461,-0.0005739927291870117,-0.0014565918172593229
1006,32,0.25369567,65,65536,124.71722356677056,-4.446771189570427,0.00025,0.2,1.0673500299453735,310,0.054150390625,0.0069434727,75.97608184814453,0.21897417306900024,-0.0019020936539163812
1010,33,-0.69670707,66,67584,173.8133727312088,-4.458327858150005,0.00025,0.2,1.0751413106918335,320,0.0384765625,0.0042523104,59.28085708618164,0.09887462854385376,-0.004038207669509575
